X,Algorithm,value
100000,AdaHT,4
150000,AdaHT,4
200000,AdaHT,5
250000,AdaHT,5
300000,AdaHT,6
350000,AdaHT,2
400000,AdaHT,2
450000,AdaHT,5
50000,AdaHT,2
500000,AdaHT,2
550000,AdaHT,3
600000,AdaHT,4
650000,AdaHT,5
700000,AdaHT,6
750000,AdaHT,7
800000,AdaHT,2
850000,AdaHT,4
900000,AdaHT,5
950000,AdaHT,5
100000,ASHT,0
1000000,ASHT,0
150000,ASHT,0
200000,ASHT,0
250000,ASHT,0
300000,ASHT,0
350000,ASHT,0
400000,ASHT,0
450000,ASHT,0
50000,ASHT,0
500000,ASHT,0
550000,ASHT,0
600000,ASHT,0
650000,ASHT,0
700000,ASHT,0
750000,ASHT,0
800000,ASHT,0
850000,ASHT,0
900000,ASHT,0
950000,ASHT,0
100000,BagAdaHT,4.2
1000000,BagAdaHT,5.2
150000,BagAdaHT,5.4
200000,BagAdaHT,6.0
250000,BagAdaHT,6.4
300000,BagAdaHT,7.0
350000,BagAdaHT,7.6
400000,BagAdaHT,8.2
450000,BagAdaHT,9.2
50000,BagAdaHT,2.2
500000,BagAdaHT,7.2
550000,BagAdaHT,7.6
600000,BagAdaHT,7.8
650000,BagAdaHT,7.8
700000,BagAdaHT,7.8
750000,BagAdaHT,8.0
800000,BagAdaHT,8.6
850000,BagAdaHT,8.4
900000,BagAdaHT,8.4
950000,BagAdaHT,4.8
100000,BagAdwin,2.8
1000000,BagAdwin,4.4
150000,BagAdwin,4.4
200000,BagAdwin,4.0
250000,BagAdwin,4.8
300000,BagAdwin,5.2
350000,BagAdwin,2.0
400000,BagAdwin,3.2
450000,BagAdwin,4.0
50000,BagAdwin,1.6
500000,BagAdwin,2.4
550000,BagAdwin,2.8
600000,BagAdwin,4.6
650000,BagAdwin,2.4
700000,BagAdwin,3.6
750000,BagAdwin,4.8
800000,BagAdwin,4.4
850000,BagAdwin,4.4
900000,BagAdwin,5.2
950000,BagAdwin,3.8
100000,BagASHT,1.8
1000000,BagASHT,2.2
150000,BagASHT,1.6
200000,BagASHT,1.6
250000,BagASHT,1.6
300000,BagASHT,2.8
350000,BagASHT,2.0
400000,BagASHT,1.0
450000,BagASHT,0.8
50000,BagASHT,1.4
500000,BagASHT,1.6
550000,BagASHT,1.2
600000,BagASHT,1.6
650000,BagASHT,2.2
700000,BagASHT,1.2
750000,BagASHT,0.8
800000,BagASHT,1.6
850000,BagASHT,1.8
900000,BagASHT,1.8
950000,BagASHT,1.4
100000,BagHT,3.2
1000000,BagHT,10.6
150000,BagHT,4.4
200000,BagHT,4.8
250000,BagHT,5.2
300000,BagHT,6.4
350000,BagHT,6.8
400000,BagHT,7.0
450000,BagHT,7.8
50000,BagHT,1.2
500000,BagHT,8.2
550000,BagHT,8.2
600000,BagHT,8.4
650000,BagHT,8.6
700000,BagHT,9.0
750000,BagHT,10.2
800000,BagHT,10.2
850000,BagHT,10.2
900000,BagHT,10.4
950000,BagHT,10.4
100000,BagSRHT,1.2
1000000,BagSRHT,1.9
150000,BagSRHT,1.6
200000,BagSRHT,1.4
250000,BagSRHT,1.4
300000,BagSRHT,1.6
350000,BagSRHT,2.4
400000,BagSRHT,1.8
450000,BagSRHT,1.8
50000,BagSRHT,1.6
500000,BagSRHT,2.0
550000,BagSRHT,2.6
600000,BagSRHT,3.0
650000,BagSRHT,2.2
700000,BagSRHT,2.2
750000,BagSRHT,2.6
800000,BagSRHT,2.2
850000,BagSRHT,1.8
900000,BagSRHT,1.8
950000,BagSRHT,2.4
100000,BoostAdaHT,4.0
1000000,BoostAdaHT,7.2
150000,BoostAdaHT,5.0
200000,BoostAdaHT,5.6
250000,BoostAdaHT,5.8
300000,BoostAdaHT,6.6
350000,BoostAdaHT,5.4
400000,BoostAdaHT,5.6
450000,BoostAdaHT,6.4
50000,BoostAdaHT,2.4
500000,BoostAdaHT,5.8
550000,BoostAdaHT,6.4
600000,BoostAdaHT,7.2
650000,BoostAdaHT,5.4
700000,BoostAdaHT,6.4
750000,BoostAdaHT,6.8
800000,BoostAdaHT,5.8
850000,BoostAdaHT,6.6
900000,BoostAdaHT,7.4
950000,BoostAdaHT,6.8
100000,BoostHT,0.0
1000000,BoostHT,0.0
150000,BoostHT,0.0
200000,BoostHT,0.0
250000,BoostHT,0.0
300000,BoostHT,0.0
350000,BoostHT,0.0
400000,BoostHT,0.0
450000,BoostHT,0.0
50000,BoostHT,0.0
500000,BoostHT,0.0
550000,BoostHT,0.0
600000,BoostHT,0.0
650000,BoostHT,0.0
700000,BoostHT,0.0
750000,BoostHT,0.0
800000,BoostHT,0.0
850000,BoostHT,0.0
900000,BoostHT,0.0
950000,BoostHT,0.0
100000,HT,3
150000,HT,4
200000,HT,6
250000,HT,6
300000,HT,8
350000,HT,8
400000,HT,8
450000,HT,9
50000,HT,2
500000,HT,9
550000,HT,9
600000,HT,9
650000,HT,9
700000,HT,9
750000,HT,9
800000,HT,9
850000,HT,9
900000,HT,9
950000,HT,10
